TXN,FROM,TO,AMOUNT,TIME
126,97599,487164,3.47,2010-07-17-00-13-11
127,175,956,0.33,2011-07-03-08-35-43
128,33,68673,130.0,2011-01-17-17-57-52
129,348,49006,0.05,2011-03-22-07-33-21
130,230486,488564,1.59,2011-04-21-09-31-03
131,812726,867215,48.05,2011-01-12-19-05-41
132,852136,780929,146.42,2011-06-22-16-15-37
133,608106,54772,24.247,2011-06-26-16-48-29
134,175,244291,1.0,2011-05-10-00-08-41
135,1995,334487,0.0348208,2011-06-22-13-42-14
136,681425,620468,2.44,2011-06-10-20-46-02
137,731586,114042,40.413,2011-06-17-02-38-59
138,47035,27241,302.05500643,2011-06-27-20-06-41
139,325428,59042,0.05719362,2011-07-05-00-23-11
140,634458,2995,0.51,2011-07-02-10-01-23
141,431150,404802,42.67549826,2011-07-03-18-40-48
142,723115,722,0.05,2011-05-22-14-48-05
143,11518,80510,99.98,2010-12-12-06-29-15
144,36514,779967,0.01,2011-06-29-09-26-42
145,609986,603502,0.02,2011-05-28-20-52-21
146,108951,383842,5.71,2011-05-18-19-27-36
147,130190,98009,0.04,2011-06-21-17-04-34
148,2707,75331,0.16,2011-05-19-23-33-05
149,2226,2226,1.0,2011-05-07-00-25-25
150,657025,10092,1.49,2011-05-16-01-53-55
151,16,498,2.0,2011-06-19-00-41-08
152,95975,484400,12.8,2011-03-26-13-13-20
153,39762,67820,78.0,2011-03-10-15-07-09
154,519042,23,1.0,2011-05-27-06-10-49
155,588994,351349,0.01327615,2011-06-27-22-53-27
156,388684,539517,470.08,2011-06-21-23-15-22
157,882228,659141,0.001,2011-07-01-06-55-24
158,102785,175,50.0,2011-04-18-09-53-43
159,331143,186080,0.73,2011-06-05-18-52-21
160,767513,828107,0.23,2011-06-28-05-50-06
161,726942,401029,43.04,2011-02-17-19-02-30
162,187857,316563,0.02,2011-06-02-21-52-57
163,586270,221804,0.02,2011-05-22-14-41-08
164,220104,726233,0.01,2011-06-12-07-37-29
165,77961,24125,11.92,2011-05-17-23-43-06
166,586214,680097,704.96,2011-06-19-20-01-59
167,777660,190353,6.7765,2011-07-03-16-44-25
168,175,48983,1.0,2011-06-05-13-27-28
169,620657,30957,7.43,2011-06-04-22-56-12
170,467990,703000,15.0,2011-05-28-03-54-48
171,314319,805751,5.83,2011-07-11-08-42-24
172,459584,10058,5.0,2011-04-23-22-40-49
173,58264,67119,0.43,2011-03-25-11-24-32
174,547009,745096,48.68,2011-01-26-11-20-24
175,148271,6670,0.01,2010-11-16-03-42-52
176,437023,325416,0.05,2011-04-20-04-07-43
177,73605,74970,56.31,2011-03-18-19-54-57
178,594560,689951,0.05,2011-02-11-10-12-21
179,7931,7931,0.02,2011-06-13-18-59-40
180,25582,19512,0.10428951,2011-05-22-14-45-11
181,387954,500943,0.64,2011-06-29-19-01-12
182,11272,11272,0.0056111,2011-06-25-18-47-49
183,480217,56751,0.17,2011-05-30-20-54-48
184,189067,393501,0.0516229,2011-06-24-06-37-36
185,175,310973,0.53,2011-04-06-06-19-00
186,175,187,0.33,2011-06-13-16-38-49
187,532160,859759,0.001,2011-07-04-03-40-33
188,642558,385583,169.7373553,2011-06-24-07-15-38
189,558776,24636,1.73,2011-02-25-21-29-00
190,161662,58452,0.06,2011-06-11-00-07-22
191,162341,375393,0.0195,2011-07-02-23-20-17
192,175,55458,0.01,2011-06-09-17-36-49
193,436479,865728,22.23,2011-04-30-22-55-49
194,157685,241436,0.06068967,2011-05-11-05-59-59
195,144357,490563,0.90048581,2011-06-07-13-47-04
196,175,475377,0.01,2011-06-24-14-05-59
197,277303,255449,1.76,2011-02-28-11-13-59
198,175,285866,0.23,2011-06-20-21-43-20
199,603918,714310,6248.312,2011-06-25-09-35-24
200,66003,36507,0.15,2011-06-11-08-36-06
201,827381,401336,0.05,2011-03-23-08-21-01
202,456944,291281,1.96,2011-01-09-08-07-56
203,565467,509623,0.31,2011-03-01-23-23-52
204,484515,619653,0.001,2011-06-18-17-20-05
205,44045,73125,0.0465,2011-06-20-15-56-43
206,32956,32956,0.08298015,2011-06-18-08-12-12
207,907033,783478,0.05,2011-07-08-16-36-35
208,643439,123016,0.05,2011-06-24-18-35-28
209,557636,2844,2.74,2011-04-18-18-35-41
210,427601,424628,82.00784146,2011-05-31-21-28-27
211,665292,657924,400.0,2010-11-21-04-49-37
212,81315,9980,0.3,2010-11-06-11-41-04
213,589429,230830,0.05,2011-02-24-17-51-48
214,101170,1601,0.13,2011-06-11-23-30-15
215,485134,606659,261.5,2011-01-30-13-32-23
216,51026,1584,0.2,2011-07-01-18-36-08
217,760431,6989,0.05,2011-02-20-15-36-27
218,175,69140,0.06,2011-06-09-17-21-45
219,378607,95639,45.03,2010-07-14-17-24-38
220,212456,16,0.03,2011-06-25-12-29-22
221,225213,73253,2.92,2011-05-01-23-09-05
222,428428,424105,3.34256511,2011-06-19-06-18-13
223,34843,20988,0.1,2011-04-19-01-43-09
224,283352,616518,0.03,2011-05-31-14-32-26
225,713805,339409,41.75,2011-04-23-18-44-11
226,798183,23,2.0,2011-06-15-18-09-11
227,293712,393549,4.267,2011-06-30-10-04-03
228,94748,145650,0.1,2011-05-09-14-11-48
229,23401,19728,6.0,2011-05-17-19-37-01
230,458755,792355,0.05632308,2011-06-02-00-33-12
231,175,187,1.45,2011-06-13-16-38-49
232,450372,59,0.6,2011-06-25-19-26-35
233,792444,192250,24.01,2011-04-14-07-02-57
234,78618,543,0.34,2011-06-20-20-17-35
235,370936,880951,0.44,2011-06-14-13-59-51
236,791103,863377,16.961,2011-06-08-12-58-49
237,470698,20296,1.02,2011-07-09-09-20-16
238,483139,161461,46.23453317,2011-07-10-05-33-41
239,341351,1751,0.02,2011-07-05-18-43-08
240,848971,262315,91.27,2011-06-15-22-49-24
241,458237,358014,0.05,2011-02-26-22-16-31
242,175,710993,0.1,2011-06-18-00-33-23
243,826121,211275,31.17,2011-05-08-00-58-47
244,156483,843959,90.36602004,2011-06-20-02-37-45
245,175,345565,0.01,2011-06-10-08-05-50
246,23,16719,5.0,2011-05-10-17-24-39
247,240936,127958,0.12,2011-07-09-18-02-41
248,397241,612555,5.689,2011-07-08-04-37-12
249,1995,23,0.03459011,2011-06-18-21-31-33
250,676582,23330,45.33995901,2011-06-11-10-58-49
251,831962,33118,0.1,2011-02-24-16-31-00
252,51069,78110,104.26,2011-07-06-19-41-57
253,791028,627717,2.1e-07,2011-07-08-15-34-08
254,594905,8894,0.87,2011-06-17-08-05-02
255,570967,3776,3.61,2011-06-06-06-30-52
256,13558,428623,0.01041917,2011-06-08-21-21-08
257,633660,595439,50.0,2010-10-13-16-22-51
258,16,893477,0.01,2011-07-07-17-25-50
259,773888,13054,1.93,2011-03-11-00-38-33
260,791028,426948,2.9e-07,2011-07-12-20-02-45
261,504347,28916,6.68,2011-04-17-21-30-54
262,668103,23,1.03,2011-06-11-02-11-56
263,201138,97820,51.9,2011-05-24-13-45-46
264,617601,208327,32.59,2011-04-10-11-46-27
265,17574,425130,0.01,2011-06-10-15-54-52
266,148934,114795,0.3,2011-03-23-04-13-50
267,474487,576962,0.07987253,2011-07-05-15-00-24
268,612947,3832,0.14,2011-02-04-04-03-39
269,192985,255538,436.25149718,2011-07-12-14-56-10
270,614173,877609,1.01,2011-04-11-02-36-45
271,264851,23,1.03,2011-06-16-22-37-45
272,361416,12015,0.14,2011-06-15-15-10-51
273,9379,9379,0.01,2011-06-26-09-42-15
274,421213,8303,2.83,2011-06-20-02-15-48
275,611646,194731,8.785,2011-06-26-00-47-48
276,128694,360509,10.0,2011-03-11-21-34-23
277,321039,672634,2.6e-07,2011-07-07-11-01-31
278,30958,49896,112.51,2011-03-27-18-15-24
279,175,470133,1.1,2011-06-12-03-40-30
280,768328,807452,46.42,2011-04-08-11-07-45
281,175,16938,0.16,2011-05-03-18-05-41
282,125054,430952,1.2985,2011-07-05-10-31-23
283,575935,547369,30.73,2011-04-03-04-25-41
284,316736,204632,5.48500001,2011-06-05-01-47-31
285,323155,22820,0.05,2011-02-27-09-09-59
286,562984,103853,99.99,2011-04-21-22-17-48
287,875691,362265,0.02,2011-06-08-15-15-22
288,1088,57,5.0,2011-05-01-03-11-30
289,7652,249624,500.0,2011-06-08-21-47-36
290,1237,1237,0.03,2011-06-27-05-56-16
291,617390,9537,1.11,2011-06-24-11-40-59
292,357196,20960,0.33,2011-06-22-01-39-50
293,68754,68124,0.01798147,2011-06-04-20-18-09
294,175,764886,0.52,2011-07-09-01-11-23
295,824114,562382,0.17518763,2011-07-10-11-30-58
296,733729,794165,0.11809485,2011-05-29-12-23-17
297,292333,809677,0.01,2011-06-07-06-36-31
298,175,889,0.29,2011-07-03-08-35-43
299,311301,161338,1e-08,2011-07-02-05-21-35
300,551552,2634,0.2,2011-01-09-17-14-44
301,617860,369150,3.02,2011-05-29-11-36-38
302,903431,437692,21.7,2011-04-19-11-13-09
303,32120,381662,2.0,2011-06-18-23-36-07
304,832632,5425,3.20692154,2011-05-21-00-17-56
305,179911,6607,1.0,2011-06-09-16-20-27
306,714974,753743,50.971,2011-05-31-18-59-50
307,486821,888734,112.47,2011-05-23-22-04-20
308,538307,458851,0.01003294,2011-06-14-17-27-12
309,902357,216746,64.41111776,2011-06-08-18-33-19
310,7401,20352,97.32,2011-04-10-09-39-30
311,260210,211403,0.01,2010-07-16-18-30-08
312,499701,506021,14.1,2011-02-18-07-42-53
313,234622,23,2.01,2011-04-19-19-17-36
314,34179,630726,79.10165463,2011-07-12-01-12-22
315,380418,849029,3.8e-07,2011-06-29-17-53-33
316,550566,18458,0.075,2011-07-03-19-58-08
317,668968,739434,0.02,2011-05-17-12-28-38
318,238347,219453,4.15015857,2011-06-05-02-45-36
319,175,14167,1.0,2011-06-23-20-46-51
320,763363,843057,0.001,2011-06-23-21-22-52
321,175,5896,1.15,2011-05-15-13-02-59
322,645708,789110,22.8105,2011-06-19-17-30-16
323,796105,37555,2.32,2011-03-01-16-49-13
324,2327,11004,0.32408005,2011-05-15-01-38-25
325,376827,10181,2.42,2011-06-23-07-50-15
326,76366,73677,115.75,2011-05-04-02-13-37
327,56665,3187,3.0,2011-06-23-18-26-29
328,15392,25104,72.99056962,2011-06-03-20-07-24
329,180,542496,0.01,2011-06-28-20-21-40
330,513237,343335,166.56657675,2011-05-28-23-18-47
331,641750,499672,45.59,2011-01-17-04-05-58
332,311301,161844,1e-08,2011-07-02-05-21-35
